Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
;Verify sorting by operating cost estimator (column 'Kosztorysant odpowiedzialny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by operating cost estimator (column 'Kosztorysant odpowiedzialny'):
- in search field type in a part of cost estimator's name.";The list is filtered correctly.;;;;;
;Verify if searching by operating cost estimator (column 'Kosztorysant odpowiedzialny') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by comments for repair (column 'Uwagi do naprawy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by comments for repair (column 'Uwagi do naprawy'):
- in search field type in a part of cost estimator's name.";The list is filtered correctly.;;;;;
;Verify if searching by comments for repair (column 'Uwagi do naprawy') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by conducting an inspection (column 'Wykonanie oględzin') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by conducting an inspection (column 'Wykonanie oględzin'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by order creation (column 'Utworzenie zlecenia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by order creation (column 'Utworzenie zlecenia'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by admission date (column 'Przyjęcie do naprawy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by admission date (column 'Przyjęcie do naprawy'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by order completion (column 'Zakończenie zlecenia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by order completion (column 'Zakończenie zlecenia'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim completion (column 'Zakończenie szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim completion (column 'Zakończenie szkody') :
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by steerability (column 'Kierowalność') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by steerability (column 'Kierowalność'):
- in search field type in a steerability.";The list is filtered correctly.;;;;;
;Verify if searching by steerability (column 'Kierowalność') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by number of reschedules (column 'Ilość przeplanowań') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by number of reschedules (column 'Ilość przeplanowań'):
- in search field type in a number.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by client's email (column 'Email zleceniodawcy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by client's email (column 'Email zleceniodawcy'):
- in search field type in a client's email.";The list is filtered correctly.;;;;;
;Verify if searching by client's email (column 'Email zleceniodawcy') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by client's address (column 'Adres zleceniodawcy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by client's address (column 'Adres zleceniodawcy'):
- in search field type in a client's address.";The list is filtered correctly.;;;;;
;Verify if searching by client's address (column 'Adres zleceniodawcy') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by repair ID (column 'Identyfikator naprawy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by repair ID (column 'Identyfikator naprawy'):
- in search field type in a repair ID.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - Lista szkód - historia (multiple filters);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple claims are available"
;On the left-side menu, go to 'Lista szkód - historia'.;Page 'Lista szkód - historia' is loaded.;;;;;
;Verify filtering by multiple orders for a claim by marking checkbox: 'Wiele zleceń do szkody'.;The list is filtered correctly.;;;;;
;Add filtering: 'Wystawiona faktura' = TAK;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Mark checkbox 'Szkody z kosztorysem"".";The list is filtered correctly.;;;;;
;"Mark checkbox 'Szkody bez kosztorysu"".";The list is filtered correctly, no results are returned.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Mark checkbox 'Szkody bez zleceń"".";The list is filtered correctly.;;;;;
;Add filter 'Status szkody = Zakończona'.;The list is filtered correctly.;;;;;
;Add filtering: 'Status pojazdu' = Przyjęty;The list is filtered correctly.;;;;;
;End of test.;;;;;;
Blacharnia - Lista myć (single filter);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple reservations are available"
;On the left-side menu, go to 'Lista myć';Page 'Lista myć' is loaded.;;;;;
;Verify sorting by washing progress (column 'Postęp mycia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by washing progress (column 'Postęp mycia'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by wash ordering department (column 'Dział zlecający mycie') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by wash ordering department (column 'Dział zlecający mycie'):
- in search field type in a part of department's name.";The list is filtered correctly.;;;;;
;Verify if searching by wash ordering department (column 'Dział zlecający mycie') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by registration plate (column 'Nr rejestracyjny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by registration plate (column 'Nr rejestracyjny'):
- in search field type in a part of registration plate";The list is filtered correctly.;;;;;
;Verify if searching by registration plate (column 'Nr rejestracyjny') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by VIN (column 'Numer nadwozia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by registration plate (column 'Numer nadwozia'):
- in search field type in a part of VIN.";The list is filtered correctly.;;;;;
;Verify if searching by VIN (column 'Numer nadwozia') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by make (column 'Marka') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by make (column 'Marka'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by model (column 'Model') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by model (column 'Model'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by client (column 'Zleceniodawca') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by client (column 'Zleceniodawca'):
- in search field type in a part of client's name.";The list is filtered correctly.;;;;;
;Verify if searching by client (column 'Zleceniodawca') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by planned washing date 'from' (column 'Planowana data mycia od') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by planned washing date 'from' (column 'Planowana data mycia od'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by washing program (column 'Program mycia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by washing program (column 'Program mycia'):
- in search field type in a part of program's name.";The list is filtered correctly.;;;;;
;Verify if searching by washing program (column 'Program mycia') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by washing time (column 'Czas mycia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by washing time (column 'Czas mycia'):
- in search field type in washing time.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by who performed washing (column 'Kto wykonał mycie') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by who performed washing (column 'Kto wykonał mycie'):
- in search field type in a part of worker's name.";The list is filtered correctly.;;;;;
;Verify if searching by who performed washing (column 'Kto wykonał mycie') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by washing date (column 'Kiedy  wykonał mycie') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by washing date (column 'Kiedy  wykonał mycie'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by comments (column 'Uwagi') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by comments (column 'Uwagi'):
- in search field type in a part of cost estimator's name.";The list is filtered correctly.;;;;;
;Verify if searching by comments (column 'Uwagi') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by indefinite washing (column 'Mycie bezterminowe') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by indefinite washing (column 'Mycie bezterminowe'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by who planned washing (column 'Kto zaplanował mycie') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by who planned washing (column 'Kto zaplanował mycie'):
- in search field type in a part of worker's name.";The list is filtered correctly.;;;;;
;Verify if searching by who planned washing (column 'Kto zaplanował mycie') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by creation date (column 'Data utoworzenia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by creation date (column 'Data utoworzenia'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by who created washing (column 'Utworzył') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by who created washing (column 'Utworzył'):
- in search field type in a part of worker's name.";The list is filtered correctly.;;;;;
;Verify if searching by who created washing (column 'Utworzył') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by carwash (column 'Myjnia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by carwash (column 'Myjnia'):
- in search field type in a part of carwash name.";The list is filtered correctly.;;;;;
;Verify if searching by carwash (column 'Myjnia') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - Lista myć (multiple filter);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple reservations are available"
;On the left-side menu, go to 'Lista myć';Page 'Lista myć' is loaded.;;;;;
;Filter data by washing progress: in column 'Postęp mycia' select any status from drop-down list.;The list is filtered correctly.;;;;;
;Add filtering by washing program (column 'Program mycia').;The list is filtered correctly.;;;;;
;Add filtering by planned washing date 'from' (column 'Planowana data mycia od') by selecting any date from calendar.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - Myjnia searching reservation (single filter);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple reservations are available"
;On the left-side menu, go to 'Myjnia';Page 'Myjnia' is loaded.;;;;;
;"In carwash calendar page click ""Wyszukaj rezerwacje"".";Pop-up window 'Wyszukiwanie rezerwacji' is displayed.;;;;;
;Verify sorting by washing progress (column 'Postęp mycia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by washing progress (column 'Postęp mycia'):
- select any type from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by registration plate (column 'Nr rejestracyjny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by registration plate (column 'Nr rejestracyjny'):
- in search field type in a part of registration plate";The list is filtered correctly.;;;;;
;Verify if searching by registration plate (column 'Nr rejestracyjny') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by VIN (column 'Nr nadwozia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by VIN (column 'Nr nadwozia'):
- in search field type in a part of VIN";The list is filtered correctly.;;;;;
;Verify if searching by VIN (column 'Nr nadwozia') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by washing program (column 'Program mycia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by washing program (column 'Program mycia'):
- in search field type in a part of washing program name";The list is filtered correctly.;;;;;
;Verify if searching by washing program (column 'Program mycia') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by make (column 'Marka') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by make (column 'Marka'):
- select any make from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by model (column 'Model') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by model (column 'Model'):
- select any make from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by who planned washing (column 'Kto zaplanował mycie') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by who planned washing (column 'Kto zaplanował mycie'):
- in search field type in a part of worker's first name/last name";The list is filtered correctly.;;;;;
;Verify if searching by who planned washing (column 'Kto zaplanował mycie') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting bydepartment which planned washing (column 'Dział zlecający mycie') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by department which planned washing (column 'Dział zlecający mycie'):
- in search field type in a part of a department's name";The list is filtered correctly.;;;;;
;Verify if searching by department which planned washing (column 'Dział zlecający mycie') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by washing date (column 'Data mycia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by washing date (column 'Data mycia'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by who did the washing (column 'Kto wykonał mycie') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by who did the washing (column 'Kto wykonał mycie'):
- in search field type in a part of worker's first name/last name";The list is filtered correctly.;;;;;
;Verify if searching by who did the washing (column 'Kto wykonał mycie') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by comment (column 'Uwagi') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by comment (column 'Uwagi'):
- in search field type in a part of a comment";The list is filtered correctly.;;;;;
;Verify if searching by comment (column 'Uwagi') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - Myjnia searching reservation (multiple filter);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple reservations are available"
;On the left-side menu, go to 'Myjnia';Page 'Myjnia' is loaded.;;;;;
;"In carwash calendar page click ""Wyszukaj rezerwacje"".";Pop-up window 'Wyszukiwanie rezerwacji' is displayed.;;;;;
;Filter data by washing progress: in column 'Postęp mycia' select any status from drop-down list.;The list is filtered correctly.;;;;;
;Add filtering by washing program (column 'Program mycia').;The list is filtered correctly.;;;;;
;Add filtering by planned washing date (column 'Data mycia') by selecting any date from calendar.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - Lista umów (single filter);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple reservations are available"
;On the left-side menu, go to 'Lista umów';Page 'Lista umów' is loaded.;;;;;
;Verify sorting by registration plate (section 'Pojazd wynajmowany', column 'Nr rejestracyjny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by registration plate (section 'Pojazd wynajmowany', column 'Nr rejestracyjny'):
- in search field type in a part of registration plate";The list is filtered correctly.;;;;;
;Verify if searching by registration plate (section 'Pojazd wynajmowany', column 'Nr rejestracyjny') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by model (section 'Pojazd wynajmowany', column 'Model') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by model (section 'Pojazd wynajmowany', column 'Model'):
- in search field type in a part of registration plate";The list is filtered correctly.;;;;;
;Verify if searching by model (section 'Pojazd wynajmowany', column 'Model') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by park (section 'Pojazd wynajmowany', column 'Park') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by park (section 'Pojazd wynajmowany', column 'Park'):
- select any type from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by release date (section 'Pojazd wynajmowany', column 'Data wydania') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by release date (section 'Pojazd wynajmowany', column 'Data wydania'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by admission date (section 'Pojazd wynajmowany', column 'Data przyjęcia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by admission date (section 'Pojazd wynajmowany', column 'Data przyjęcia'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by contract number (section 'Umowa', column 'Numer umowy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by contract number (section 'Umowa', column 'Numer umowy'):
- in search field type in a part of contract number";The list is filtered correctly.;;;;;
;Verify if searching by contract number (section 'Umowa', column 'Numer umowy') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by status (section 'Umowa', column 'Status') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by status (section 'Umowa', column 'Status'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by date from (section 'Umowa', column 'Data od') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by date from (section 'Umowa', column 'Data od'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by date to (section 'Umowa', column 'Data do') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by date to (section 'Umowa', column 'Data do'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by repair (section 'Pojazd naprawiany', column 'Dotyczy naprawy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by repair (section 'Pojazd naprawiany', column 'Dotyczy naprawy'):
- in search field type in a part of repair ";The list is filtered correctly.;;;;;
;Verify if searching by repair (section 'Pojazd naprawiany', column 'Dotyczy naprawy') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by tenant (section 'Pojazd naprawiany', column 'Najemca') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by tenant (section 'Pojazd naprawiany', column 'Najemca'):
- in search field type in a part of tenant's name ";The list is filtered correctly.;;;;;
;Verify if searching by tenant (section 'Pojazd naprawiany', column 'Najemca') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by registration plate (section 'Pojazd naprawiany', column 'Nr rej') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by registration plate (section 'Pojazd naprawiany', column 'Nr rej'):
- in search field type in a part of registration plate";The list is filtered correctly.;;;;;
;Verify if searching by registration plate (section 'Pojazd naprawiany', column 'Nr rej') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by model (section 'Pojazd naprawiany', column 'Model') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by model (section 'Pojazd naprawiany', column 'Model'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by contract department (section 'Pojazd naprawiany', column 'Umowa dla') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by contract department (section 'Pojazd naprawiany', column 'Umowa dla'):
- in search field type in a part of depratment's name";The list is filtered correctly.;;;;;
;Verify if searching by contract department (section 'Pojazd naprawiany', column 'Umowa dla') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by who created the repair (section 'Pojazd naprawiany', column 'Utworzył') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by  who created the repair (section 'Pojazd naprawiany', column 'Utworzył'):
- in search field type in a part of worker's name";The list is filtered correctly.;;;;;
;Verify if searching by  who created the repair (section 'Pojazd naprawiany', column 'Utworzył') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - Lista umów (multiple filters);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple reservations are available"
;On the left-side menu, go to 'Lista umów';Page 'Lista umów' is loaded.;;;;;
;Filter data by rental vehicle model (section 'Pojazd wynajmowany', column 'Model');The list is filtered correctly.;;;;;
;Add filtering by park (column 'Park').;The list is filtered correctly.;;;;;
;Add filtering by date 'from' (section 'Umowa', column 'Data od') by selecting any date from calendar.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - add new repair (page layout);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded"
;"In 'Zarządanie szkodami' page, click ""Dodaj naprawę"".";Pop-up window 'Nowa naprawa' is displayed.;;;;;
;"Verify 'Dane pojazdu' section:
- 'Wyczyść sekcję' button
- Nr rejestracyjny
- Nr VIN
- Data następnego badania (calendar)
- Stan licznika
- Rodzaj (drop-down list, pre-filled with 'osobowy')
- Marka (drop-down list)
- Model (drop-down list)
- Typ
- Rodzaj nadwozia (drop-down list)
- Rok produkcji
- Oznaczenia producenta
- Kod koloru
- Nazwa koloru";It displays correctly.;;;;;
;"Verify 'Zleceniodawca' section:
- 'Kopiuj z właściciela' button
- 'Kopiuj z użytkownika' button 
- 'Wyczyść sekcje' button
- 'Firma' checkbox
- Imię
- Nazwisko
- Prefiks
- Telefon
- Adres e-mail
- Kraj
- Wybierz adres";It displays correctly.;;;;;
;"Mark 'Firma' checkbox and verify 'Zleceniodawca' section again:
- JDG checkbox
- Nip prefix
- Nip
- Regon
- Nazwa firmy
- Kraj
- Wybierz adres
- Kontakt section with 'Imię', 'Nazwisko', 'Prefix', 'Nr telefonu', 'Adres e-mail'";It displays correctly.;;;;;
;"Mark 'JDG' checkbox and verify 'Zleceniodawca' section again:
- Nip prefix
- Nip
- Regon
- Nazwa firmy
- Imię
- Nazwisko
- Kraj
- Wybierz adres
- Kontakt section with 'Imię', 'Nazwisko', 'Prefix', 'Nr telefonu', 'Adres e-mail'";It displays correctly.;;;;;
;"Verify 'Właściciel pojazdu' section:
- 'Kopiuj ze zleceniodawcy' button
- 'Kopiuj z użytkownika' button 
- 'Wyczyść sekcje' button
- 'Firma' checkbox
- Imię
- Nazwisko
- Prefiks
- Telefon
- Adres e-mail
- Kraj
- Wybierz adres";It displays correctly.;;;;;
;"Mark 'Firma' checkbox and verify 'Właściciel pojazdu' section again:
- JDG checkbox
- Nip prefix
- Nip
- Regon
- Nazwa firmy
- Kraj
- Wybierz adres
- Kontakt section with 'Imię', 'Nazwisko', 'Prefix', 'Nr telefonu', 'Adres e-mail'";It displays correctly.;;;;;
;"Mark 'JDG' checkbox and verify 'Właściciel pojazdu' section again:
- Nip prefix
- Nip
- Regon
- Nazwa firmy
- Imię
- Nazwisko
- Kraj
- Wybierz adres
- Kontakt section with 'Imię', 'Nazwisko', 'Prefix', 'Nr telefonu', 'Adres e-mail'";It displays correctly.;;;;;
;"Verify 'Użytkownik pojazdu' section:
- 'Kopiuj ze zleceniodawcy' button
- 'Kopiuj z właściciela' button 
- 'Wyczyść sekcje' button
- 'Firma' checkbox
- Imię
- Nazwisko
- Prefiks
- Telefon
- Adres e-mail
- Kraj
- Wybierz adres";It displays correctly.;;;;;
;"Mark 'Firma' checkbox and verify 'Użytkownik pojazdu' section again:
- JDG checkbox
- Nip prefix
- Nip
- Regon
- Nazwa firmy
- Kraj
- Wybierz adres
- Kontakt section with 'Imię', 'Nazwisko', 'Prefix', 'Nr telefonu', 'Adres e-mail'";It displays correctly.;;;;;
